runtime_ratio,policy,max_device_completion_time,device_vacancy_times,average_fidelity,average_shared_fidelity,average_runtime_fidelity,total_job_time,total_circuits
0.1,random,8526.0,"[0.0, 4100.0, 3886.0, 5315.0, 908.0, 2956.0, 4520.0, 2279.0, 3284.0, 1368.0]",0.578353176407189,0.5772522502209042,0.5881525094910496,44887,10999
0.1,random_load_weighted,6530.0,"[0.0, 2153.0, 292.0, 338.0, 1160.0, 291.0, 1815.0, 485.0, 482.0, 1132.0]",0.6003719310175399,0.6027387307472418,0.5793050700571255,44887,10999
0.1,least_busy,6095.0,"[454.0, 330.0, 575.0, 314.0, 431.0, 504.0, 499.0, 0.0, 664.0, 625.0]",0.596826929219429,0.598636216859162,0.5807224778519056,44887,10999
0.1,fidelity_weighted,7795.0,"[371.0, 459.0, 105.0, 0.0, 1595.0, 4531.0, 3724.0, 2425.0, 2463.0, 5487.0]",0.6389299187628737,0.6380245098716851,0.6469889543388987,44887,10999
0.1,qoncord,6436.0,"[128.0, 1.0, 0.0, 139.0, 46.0, 51.0, 6420.0, 6436.0, 6436.0, 5672.0]",0.6641810368492186,0.6473148898006464,0.8143064447370041,44887,10999
0.1,best_fidelity,17879.0,"[337.0, 159.0, 0.0, 17243.0, 17329.0, 17421.0, 17507.0, 17535.0, 17565.0, 17582.0]",0.6667729292032939,0.6492198253270813,0.8230129330123537,44887,10999
0.1,eqc_scheduling,12752.0,"[7.0, 1.0, 5.0, 7.0, 3.0, 0.0, 3.0, 4.0, 2.0, 3.0]",0.6196509248902069,0.6492198253270813,0.8230129330123537,106386,21099
0.2,random,15497.0,"[0.0, 2890.0, 5507.0, 6023.0, 4291.0, 3077.0, 7274.0, 1016.0, 10339.0, 7400.0]",0.5950923894199768,0.5893972328103048,0.6174521914786401,85270,21097
0.2,random_load_weighted,13475.0,"[3795.0, 1993.0, 4346.0, 2123.0, 1305.0, 3325.0, 3391.0, 0.0, 4961.0, 2194.0]",0.5832630333784423,0.5829953917997901,0.5843138232217222,85270,21097
0.2,least_busy,11062.0,"[658.0, 0.0, 39.0, 473.0, 483.0, 590.0, 484.0, 61.0, 211.0, 478.0]",0.5634229713055803,0.5575657215471718,0.5864191686329275,85270,21097
0.2,fidelity_weighted,19384.0,"[0.0, 3680.0, 6080.0, 9242.0, 8738.0, 5965.0, 12291.0, 10951.0, 15073.0, 14479.0]",0.6504250546002037,0.6471524017320835,0.6632738444321816,85270,21097
0.2,qoncord,12219.0,"[0.0, 4.0, 140.0, 278.0, 277.0, 374.0, 12219.0, 12219.0, 12212.0, 11527.0]",0.6782522072441625,0.6457535191527948,0.8058455787161827,85270,21097
0.2,best_fidelity,34724.0,"[0.0, 335.0, 69.0, 34135.0, 34168.0, 34307.0, 34391.0, 34383.0, 34377.0, 34480.0]",0.6776282427378251,0.642411589425924,0.8158926402234664,85270,21097
0.2,eqc_scheduling,24933.0,"[8.0, 6.0, 0.0, 10.0, 5.0, 6.0, 8.0, 9.0, 9.0, 5.0]",0.6227587220100903,0.642411589425924,0.8158926402234664,207867,41397
0.30000000000000004,random,17076.0,"[3018.0, 5709.0, 2578.0, 984.0, 2054.0, 2644.0, 3942.0, 1572.0, 0.0, 536.0]",0.579745753498046,0.5811647937205828,0.5761857052204533,117550,29215
0.30000000000000004,random_load_weighted,17097.0,"[1636.0, 2500.0, 699.0, 1674.0, 3698.0, 3011.0, 0.0, 2048.0, 4695.0, 3628.0]",0.5973001035449107,0.5972339998563324,0.5974659426232738,117550,29215
0.30000000000000004,least_busy,15067.0,"[540.0, 577.0, 54.0, 16.0, 474.0, 9.0, 0.0, 617.0, 27.0, 611.0]",0.5906488837437729,0.5900644740069463,0.59211503448704,117550,29215
0.30000000000000004,fidelity_weighted,24626.0,"[0.0, 5000.0, 8077.0, 5419.0, 7436.0, 8170.0, 13271.0, 16337.0, 17678.0, 17403.0]",0.6413232474947286,0.6404866726807863,0.6434220229051448,117550,29215
0.30000000000000004,qoncord,16828.0,"[0.0, 0.0, 0.0, 6966.0, 6965.0, 6626.0, 16828.0, 16828.0, 16828.0, 16222.0]",0.6945785375314562,0.6511365254755075,0.8035646379525204,117550,29215
0.30000000000000004,best_fidelity,48320.0,"[0.0, 115.0, 19.0, 47817.0, 47941.0, 47905.0, 47934.0, 47922.0, 48121.0, 48153.0]",0.6919230489101312,0.6441445999134108,0.8117882806036578,117550,29215
0.30000000000000004,eqc_scheduling,34703.0,"[4.0, 5.0, 8.0, 0.0, 0.0, 9.0, 4.0, 9.0, 7.0, 4.0]",0.6193116755198196,0.6441445999134108,0.8117882806036578,289265,57715
0.4,random,25400.0,"[3.0, 9437.0, 3972.0, 8333.0, 0.0, 3384.0, 6342.0, 10040.0, 5970.0, 2273.0]",0.5826881319593379,0.5792095054727104,0.5879278675945837,162665,40501
0.4,random_load_weighted,22348.0,"[3869.0, 3302.0, 0.0, 2924.0, 2990.0, 63.0, 1213.0, 1326.0, 1322.0, 2391.0]",0.5917433926090591,0.5998273032600303,0.5795668755633606,162665,40501
0.4,least_busy,20440.0,"[58.0, 14.0, 307.0, 0.0, 141.0, 65.0, 106.0, 96.0, 82.0, 79.0]",0.5917764028511661,0.5968261816064945,0.5841700945004081,162665,40501
0.4,fidelity_weighted,32187.0,"[0.0, 4982.0, 6994.0, 3785.0, 10794.0, 16797.0, 10900.0, 20851.0, 23303.0, 19322.0]",0.644949200040896,0.6404415990248544,0.6517388446790936,162665,40501
0.4,qoncord,23288.0,"[0.0, 0.0, 0.0, 16152.0, 16485.0, 16488.0, 23288.0, 23288.0, 23288.0, 22767.0]",0.7090833088079176,0.6473677470728829,0.8020433403937716,162665,40501
0.4,best_fidelity,67300.0,"[0.0, 187.0, 37.0, 66725.0, 67031.0, 66943.0, 66993.0, 67103.0, 67124.0, 67135.0]",0.7172612302264856,0.6588183527383699,0.8052917299015673,162665,40501
0.4,eqc_scheduling,48310.0,"[3.0, 2.0, 3.0, 0.0, 3.0, 3.0, 2.0, 5.0, 6.0, 6.0]",0.618362801446031,0.6588183527383699,0.8052917299015673,402666,80401
0.5,random,28396.0,"[3409.0, 7097.0, 10369.0, 1344.0, 1032.0, 5398.0, 108.0, 11133.0, 0.0, 7103.0]",0.5871842469805956,0.5883787300650868,0.5858154616434318,189035,47134
0.5,random_load_weighted,29259.0,"[5932.0, 8297.0, 7001.0, 4286.0, 4934.0, 7216.0, 0.0, 6152.0, 4279.0, 7244.0]",0.5715979591101628,0.565489433209102,0.5785978578894897,189035,47134
0.5,least_busy,23998.0,"[54.0, 617.0, 561.0, 86.0, 37.0, 0.0, 593.0, 32.0, 124.0, 585.0]",0.5841751118914909,0.588130042778736,0.5796430666258492,189035,47134
0.5,fidelity_weighted,40461.0,"[0.0, 4291.0, 15024.0, 9409.0, 21108.0, 22190.0, 16478.0, 19505.0, 31603.0, 27649.0]",0.6462573658579989,0.644322520568309,0.648474549086957,189035,47134
0.5,qoncord,27173.0,"[0.0, 145.0, 145.0, 22418.0, 23094.0, 22749.0, 27173.0, 27173.0, 27173.0, 26721.0]",0.7243076475224197,0.6486493717914245,0.8110061866648051,189035,47134
0.5,best_fidelity,78457.0,"[282.0, 343.0, 0.0, 78082.0, 78148.0, 78173.0, 78174.0, 78239.0, 78254.0, 78318.0]",0.7160946448732017,0.6397977538246585,0.803524987834408,189035,47134
0.5,eqc_scheduling,56295.0,"[7.0, 5.0, 0.0, 6.0, 3.0, 5.0, 7.0, 3.0, 6.0, 5.0]",0.6167208064192973,0.6397977538246585,0.803524987834408,469169,93734
0.6,random,36207.0,"[7980.0, 3973.0, 9972.0, 6969.0, 5278.0, 7270.0, 5959.0, 3971.0, 8844.0, 0.0]",0.5782617776791605,0.5785192246090972,0.5780887113483336,241230,60202
0.6,random_load_weighted,35965.0,"[6754.0, 7641.0, 8059.0, 6722.0, 0.0, 1744.0, 4977.0, 7066.0, 7775.0, 6714.0]",0.5885858914387936,0.5899969117964724,0.587637345980956,241230,60202
0.6,least_busy,30281.0,"[4.0, 32.0, 296.0, 52.0, 9.0, 316.0, 103.0, 0.0, 57.0, 51.0]",0.5895964100518757,0.5991504541754573,0.5831737917614412,241230,60202
0.6,fidelity_weighted,46051.0,"[0.0, 10700.0, 4101.0, 6783.0, 16807.0, 16721.0, 25087.0, 24896.0, 20941.0, 32260.0]",0.6402013176393375,0.6428082619960137,0.6384488232724749,241230,60202
0.6,qoncord,34653.0,"[0.0, 145.0, 145.0, 33638.0, 33978.0, 33981.0, 34653.0, 34653.0, 34653.0, 34308.0]",0.7467381377464224,0.6499068228975731,0.8118320985645451,241230,60202
0.6,best_fidelity,100282.0,"[247.0, 230.0, 0.0, 99941.0, 100043.0, 100046.0, 100084.0, 100143.0, 100125.0, 100161.0]",0.7430967130345056,0.6479204232012461,0.8070780985077002,241230,60202
0.6,eqc_scheduling,72046.0,"[0.0, 4.0, 2.0, 0.0, 4.0, 0.0, 5.0, 5.0, 3.0, 3.0]",0.6148988638456065,0.6479204232012461,0.8070780985077002,600432,120002
0.7000000000000001,random,44864.0,"[8971.0, 5665.0, 9008.0, 10059.0, 4682.0, 15682.0, 11643.0, 8713.0, 0.0, 12980.0]",0.5809000664299263,0.5739589200722606,0.5836397378653787,288270,71983
0.7000000000000001,random_load_weighted,38891.0,"[3737.0, 4731.0, 0.0, 2048.0, 7681.0, 1000.0, 2687.0, 1076.0, 729.0, 4010.0]",0.582244120112565,0.578795770610662,0.5836051841419077,288270,71983
0.7000000000000001,least_busy,36203.0,"[52.0, 225.0, 83.0, 42.0, 304.0, 53.0, 104.0, 276.0, 28.0, 0.0]",0.5874605276251263,0.5901188200706613,0.5864112992261216,288270,71983
0.7000000000000001,fidelity_weighted,65237.0,"[0.0, 18289.0, 21007.0, 28005.0, 23322.0, 28418.0, 38402.0, 42449.0, 46119.0, 45136.0]",0.6443581187779232,0.6373430821661928,0.6471269547069602,288270,71983
0.7000000000000001,qoncord,41308.0,"[0.0, 0.0, 0.0, 41056.0, 41060.0, 41061.0, 41308.0, 41308.0, 41308.0, 41059.0]",0.7606049613992829,0.6451136350603973,0.8061894040128181,288270,71983
0.7000000000000001,best_fidelity,119972.0,"[0.0, 39.0, 42.0, 119765.0, 119791.0, 119809.0, 119846.0, 119863.0, 119903.0, 119877.0]",0.7643477225837741,0.6517701250886418,0.8087821160163018,288270,71983
0.7000000000000001,eqc_scheduling,86248.0,"[0.0, 4.0, 2.0, 7.0, 6.0, 3.0, 6.0, 5.0, 5.0, 6.0]",0.6159093232015247,0.6517701250886418,0.8087821160163018,718753,143683
0.8,random,48126.0,"[4340.0, 6040.0, 13012.0, 6007.0, 5323.0, 1016.0, 0.0, 16029.0, 5982.0, 10307.0]",0.5842347129770583,0.569164515427829,0.5874758125714855,330161,82477
0.8,random_load_weighted,45781.0,"[7945.0, 2987.0, 3976.0, 4016.0, 4927.0, 2982.0, 7667.0, 6933.0, 0.0, 2001.0]",0.5786122321946762,0.5783955178978306,0.5786588402512275,330161,82477
0.8,least_busy,41799.0,"[19.0, 0.0, 683.0, 661.0, 679.0, 667.0, 656.0, 668.0, 14.0, 685.0]",0.5842927172354163,0.5854402401588287,0.5840459231194454,330161,82477
0.8,fidelity_weighted,63134.0,"[0.0, 5243.0, 10974.0, 8370.0, 22915.0, 21316.0, 32341.0, 35397.0, 40373.0, 40397.0]",0.6486458972504268,0.648744968824221,0.6486245902412389,330161,82477
0.8,qoncord,47428.0,"[0.0, 195.0, 195.0, 47269.0, 47269.0, 47266.0, 47428.0, 47428.0, 47428.0, 47266.0]",0.7795057122295251,0.6523826800477115,0.806845659612491,330161,82477
0.8,best_fidelity,137822.0,"[648.0, 660.0, 0.0, 137718.0, 137637.0, 137702.0, 137725.0, 137785.0, 137746.0, 137765.0]",0.7788510640993429,0.6381692623538205,0.8091070530531188,330161,82477
0.8,eqc_scheduling,98894.0,"[1.0, 2.0, 5.0, 2.0, 2.0, 4.0, 4.0, 0.0, 3.0, 2.0]",0.6164693072429215,0.6381692623538205,0.8091070530531188,824138,164777
0.9,random,52756.0,"[19984.0, 4983.0, 7710.0, 2664.0, 10996.0, 0.0, 11731.0, 6000.0, 3675.0, 10005.0]",0.579231171506878,0.6020542839537997,0.5765820602407175,358920,89704
0.9,random_load_weighted,48757.0,"[8012.0, 3015.0, 0.0, 4021.0, 5690.0, 6712.0, 16.0, 5673.0, 2.0, 4645.0]",0.5805838670077221,0.5632747034137929,0.5825929663534462,358920,89704
0.9,least_busy,45073.0,"[29.0, 10.0, 308.0, 300.0, 297.0, 298.0, 0.0, 21.0, 12.0, 29.0]",0.5882967120810376,0.5838589779115696,0.5888118062257081,358920,89704
0.9,fidelity_weighted,64104.0,"[0.0, 346.0, 2030.0, 10019.0, 18999.0, 26389.0, 33356.0, 34031.0, 29373.0, 37069.0]",0.6368889770736966,0.6345647171687887,0.6371587572412307,358920,89704
0.9,qoncord,51508.0,"[0.0, 0.0, 195.0, 51415.0, 51422.0, 51421.0, 51508.0, 51508.0, 51508.0, 51423.0]",0.7935363180450568,0.6644674213665762,0.8085175292666661,358920,89704
0.9,best_fidelity,149802.0,"[689.0, 0.0, 12.0, 149715.0, 149760.0, 149765.0, 149729.0, 149782.0, 149776.0, 149782.0]",0.7904494213772627,0.6725911721387414,0.8041293967353055,358920,89704
0.9,eqc_scheduling,107595.0,"[2.0, 3.0, 5.0, 1.0, 0.0, 0.0, 2.0, 3.0, 5.0, 1.0]",0.6125928445773672,0.6725911721387414,0.8041293967353055,896624,179304
